text,label,url,scam_type,payment_flag,urgency_score,work_mode,company_name
Quality checking work from home. Security deposit 800 rupees. 250 per task. Flexible hours apply now.,1,http://fastearning.site,fee_scam,1,10,remote,QuickJob India
MakeMyTrip marketing intern. Digital marketing required. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.zomato.com,legit,0,3,remote,Ola
Ad posting job. Advance payment 1000 required. Work from mobile. Earn 800 per post. Join now!,1,http://homejobs.tk,fee_scam,1,10,remote,OnlineJob India
Work from home job. UPI payment to register. 500 per hour. Immediate start. Limited openings.,1,http://govt-internship.xyz,fee_scam,1,10,remote,MobileJob Center
Survey and form filling work from home. Registration 350 rupees. Earn 200 per task. Join now.,1,http://wfh-jobs.tk,fee_scam,1,6,remote,DailyEarn Network
Online survey work. Earn 3000 daily. Processing fee 750 rupees. UPI payment required. Join today!,1,http://dailyearn.top,fee_scam,1,6,remote,MobileJob Center
Swiggy software intern. Python Django required. 18000 per month stipend. Apply via Internshala. Offer letter. No fee.,0,https://careers.hdfcbank.com,legit,0,2,remote,IBM
Internet job available. Registration fee applies. Earn 500 daily. No qualification required. Apply now.,1,http://quickearn.top,fee_scam,1,6,remote,MobileJob Center
Reseller work from home. Pay 1500 training fee to confirm seat. UPI fastjobs gpay. Urgent hiring.,1,http://incomeeasy.xyz,fee_scam,1,10,remote,WorkOnline India
Wipro cybersecurity intern. Networking basics required. 12000 per month stipend. Apply via Wipro campus portal. No fee.,0,https://careers.swiggy.com,legit,0,3,remote,Flipkart
Wipro cybersecurity intern. Networking basics required. 12000 per month stipend. Apply via Wipro campus portal. No fee.,0,https://careers.hdfcbank.com,legit,0,4,remote,TCS
Lenskart AI research intern. Python deep learning required. 35000 per month stipend. Apply via careers portal. No fee.,0,https://careers.swiggy.com,legit,0,3,remote,Paytm
Image tagging work. Training fee 300 rupees. Work from mobile. 100 per image. Apply now urgent.,1,http://jobsfast.online,fee_scam,1,7,remote,HomeWork Pro
MLM network marketing. Registration fee 799 rupees. Refer others earn 1000 per referral. WhatsApp now.,1,http://homejobs.tk,fee_scam,1,7,remote,MobileJob Center
PhonePe product intern. Engineering background. 22000 per month stipend. 2 technical rounds. Apply via LinkedIn. No fee.,0,https://nextstep.tcs.com,legit,0,3,remote,Byju's
Quality checking work from home. Security deposit 800 rupees. 250 per task. Flexible hours apply now.,1,http://homejobs.tk,fee_scam,1,6,remote,SmartWork Hub
Wipro cybersecurity intern. Networking basics required. 12000 per month stipend. Apply via Wipro campus portal. No fee.,0,https://careers.microsoft.com,legit,0,2,remote,TCS
Video watching job. Registration 200 rupees. Earn 50 per video. Work 2 hours daily. Join today.,1,http://homejobs.tk,fee_scam,1,10,remote,OnlineJob India
Pay 999 rupees registration fee to confirm your internship seat. UPI fastjobs gpay. WhatsApp 9988776655. Limited slots!,1,http://incomeeasy.xyz,fee_scam,1,9,remote,WorkOnline India
Infosys hiring software interns. Java Spring Boot required. 15000 per month stipend. 3 months. Apply via Naukri. No fee.,0,https://amazon.jobs,legit,0,2,remote,HCL
Byju content intern. Subject expertise required. 12000 per month stipend. Written test plus interview. No fee.,0,https://careers.hdfcbank.com,legit,0,2,remote,Deloitte
Google Software Engineering Intern 2025. Python algorithms system design required. 80000 per month stipend. Apply via careers.google.com. No fee required.,0,https://careers.myntra.com,legit,0,3,remote,Razorpay
Microsoft Azure cloud intern. Azure certifications preferred. 30000 per month stipend. Apply via careers.microsoft.com. No charges.,0,https://careers.hdfcbank.com,legit,0,3,remote,PhonePe
Urban Company product intern. MBA students. 18000 per month stipend. Case interview. Apply via LinkedIn. No fee.,0,https://careers.infosys.com,legit,0,3,remote,Amazon
Copy paste work from home. Training fee 600 rupees. Work 2 hours daily. WhatsApp only. Apply now.,1,http://wfh-jobs.tk,fee_scam,1,7,remote,EasyIncome Hub
Razorpay UI UX Design Intern. Figma Adobe XD required. 15000 per month stipend. Apply at LetsIntern. No fee charged.,0,https://careers.google.com,legit,0,2,remote,Infosys
Home based quality checking. One time registration required. Contact immediately for details.,1,http://earnonline.xyz,fee_scam,1,6,remote,OnlineJob India
Survey and form filling work from home. Registration 350 rupees. Earn 200 per task. Join now.,1,http://earnonline.xyz,fee_scam,1,10,remote,MobileJob Center
Join our growing e commerce team. Starter fee applies. Unlimited earning potential. Contact HR.,1,http://wfh-jobs.tk,fee_scam,1,9,remote,MobileJob Center
Work from home data entry job. Earn 50000 weekly. No experience needed. Pay 500 training fee. WhatsApp HR now.,1,http://homejobs.tk,fee_scam,1,7,remote,EasyIncome Hub
Quality checking work from home. Security deposit 800 rupees. 250 per task. Flexible hours apply now.,1,http://incomeeasy.xyz,fee_scam,1,6,remote,FastEarn Solutions
Image tagging work. Training fee 300 rupees. Work from mobile. 100 per image. Apply now urgent.,1,http://homejobs.tk,fee_scam,1,7,remote,EasyIncome Hub
Online tutor hiring. Pay 800 registration fee. No experience needed. WhatsApp HR. Work from home.,1,http://dailyearn.top,fee_scam,1,9,remote,SmartWork Hub
Form filling job online. Pay 999 advance to start. No interview. Immediate joining. WhatsApp HR.,1,http://fastearning.site,fee_scam,1,7,remote,SmartWork Hub
MakeMyTrip marketing intern. Digital marketing required. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.infosys.com,legit,0,2,remote,HCL
Content posting work from home. Advance fee 500 rupees. 150 per post. No interview. WhatsApp HR.,1,http://earnonline.xyz,fee_scam,1,10,remote,SmartWork Hub
TCS software development intern. Java required. 12000 per month stipend. Offer letter provided. Apply via NextStep. No fee.,0,https://nextstep.tcs.com,legit,0,4,remote,Myntra
Work from home internship. Pay advance fee. Earn weekly. WhatsApp HR. Limited slots available now.,1,http://workfromhome.tk,fee_scam,1,9,remote,SmartWork Hub
Online job available. Pay 400 processing fee. Earn 1000 daily. WhatsApp for details. Apply now.,1,http://jobsfast.online,fee_scam,1,7,remote,InstantEarn Corp
Part time work from home. Pay 500 joining fee. Earn 5000 daily. WhatsApp now. Limited openings.,1,http://dailyearn.top,fee_scam,1,9,remote,InstantEarn Corp
HCL software intern. Python SQL required. 10000 per month stipend. Interview technical plus HR round. No fee.,0,https://careers.microsoft.com,legit,0,3,remote,Amazon
Copy paste work from home. Training fee 600 rupees. Work 2 hours daily. WhatsApp only. Apply now.,1,http://jobsfast.online,fee_scam,1,7,remote,InstantEarn Corp
Digital marketing work from home. Registration fee 1500 rupees. Urgent hiring. WhatsApp for details.,1,http://easyjobs.xyz,fee_scam,1,6,remote,InstantEarn Corp
Online survey work. Earn 3000 daily. Processing fee 750 rupees. UPI payment required. Join today!,1,http://dailyearn.top,fee_scam,1,7,remote,DailyEarn Network
Amazon operations intern. Supply chain background preferred. 18000 per month stipend. Apply at amazon.jobs. No registration fee.,0,https://careers.microsoft.com,legit,0,3,remote,Myntra
Internet job available. Registration fee applies. Earn 500 daily. No qualification required. Apply now.,1,http://jobsfast.online,fee_scam,1,7,remote,QuickJob India
Work from home data entry job. Earn 50000 weekly. No experience needed. Pay 500 training fee. WhatsApp HR now.,1,http://work-online123.online,fee_scam,1,9,remote,EasyIncome Hub
Zomato marketing intern. Digital marketing experience preferred. 12000 per month stipend. Apply via Internshala. No fee.,0,https://careers.olacabs.com,legit,0,2,remote,Microsoft
Pay 999 rupees registration fee to confirm your internship seat. UPI fastjobs gpay. WhatsApp 9988776655. Limited slots!,1,http://govt-internship.xyz,fee_scam,1,9,remote,MobileJob Center
Mobile job opportunity. Pay 150 registration. Earn 1000 per day. Work from home. Seats limited.,1,http://quickearn.top,fee_scam,1,9,remote,SmartWork Hub
Survey and form filling work from home. Registration 350 rupees. Earn 200 per task. Join now.,1,http://homejobs.tk,fee_scam,1,7,remote,FastEarn Solutions
Home based job. UPI payment required to join. 400 per hour. Immediate start available. Apply now.,1,http://homejobs.tk,fee_scam,1,10,remote,MobileJob Center
HCL software intern. Python SQL required. 10000 per month stipend. Interview technical plus HR round. No fee.,0,https://careers.olacabs.com,legit,0,4,remote,Google
Byju content intern. Subject expertise required. 12000 per month stipend. Written test plus interview. No fee.,0,https://amazon.jobs,legit,0,3,remote,Google
Earn 2000 daily from home. Pay 300 activation fee. Simple mobile tasks. No skills needed. Apply now.,1,http://easyjobs.xyz,fee_scam,1,9,remote,MobileJob Center
Quality checking work from home. Security deposit 800 rupees. 250 per task. Flexible hours apply now.,1,http://jobsfast.online,fee_scam,1,10,remote,SmartWork Hub
Paytm backend intern. Node.js MongoDB required. 18000 per month stipend. Apply at Paytm careers page. No charges.,0,https://careers.flipkart.com,legit,0,2,remote,Deloitte
Home based job. UPI payment required to join. 400 per hour. Immediate start available. Apply now.,1,http://easyjobs.xyz,fee_scam,1,9,remote,MobileJob Center
Earn 2000 daily from home. Pay 300 activation fee. Simple mobile tasks. No skills needed. Apply now.,1,http://fastearning.site,fee_scam,1,8,remote,MobileJob Center
Flipkart data science internship. Python ML pandas required. 25000 per month stipend. Apply via LinkedIn. Offer letter provided.,0,https://careers.myntra.com,legit,0,2,remote,Paytm
MLM network marketing. Registration fee 799 rupees. Refer others earn 1000 per referral. WhatsApp now.,1,http://earnonline.xyz,fee_scam,1,10,remote,HomeWork Pro
Deloitte business analyst intern. MBA preferred. 20000 per month stipend. Case study interview. Apply via Deloitte. No fee.,0,https://careers.hdfcbank.com,legit,0,4,remote,Google
Online survey work. Earn 3000 daily. Processing fee 750 rupees. UPI payment required. Join today!,1,http://workfromhome.tk,fee_scam,1,6,remote,OnlineJob India
Affiliate marketing job. Pay 999 starter fee. Earn 800 per referral. Work from home. Apply now.,1,http://govt-internship.xyz,fee_scam,1,7,remote,MobileJob Center
Reseller work from home. Pay 1500 training fee to confirm seat. UPI fastjobs gpay. Urgent hiring.,1,http://earnonline.xyz,fee_scam,1,6,remote,HomeWork Pro
Video watching job. Registration 200 rupees. Earn 50 per video. Work 2 hours daily. Join today.,1,http://easyjobs.xyz,fee_scam,1,8,remote,MobileJob Center
PhonePe product intern. Engineering background. 22000 per month stipend. 2 technical rounds. Apply via LinkedIn. No fee.,0,https://careers.flipkart.com,legit,0,3,remote,HCL
Online tutor hiring. Pay 800 registration fee. No experience needed. WhatsApp HR. Work from home.,1,http://quickearn.top,fee_scam,1,8,remote,MobileJob Center
PhonePe product intern. Engineering background. 22000 per month stipend. 2 technical rounds. Apply via LinkedIn. No fee.,0,https://careers.zomato.com,legit,0,1,remote,HDFC Bank
MakeMyTrip marketing intern. Digital marketing required. 12000 per month stipend. Apply via Internshala. No fee.,0,https://amazon.jobs,legit,0,1,remote,Google
Quality checking work from home. Security deposit 800 rupees. 250 per task. Flexible hours apply now.,1,http://quickearn.top,fee_scam,1,6,remote,EasyIncome Hub
HDFC Bank finance intern. Commerce background required. 10000 per month stipend. Apply via company portal. No fee.,0,https://careers.myntra.com,legit,0,1,remote,Infosys
